entry,name,size_bytes,custom_closure
0x080120b0,FUN_080120b0,118,
0x08012130,FUN_08012130,118,
0x080121b0,FUN_080121b0,128,
0x08012260,FUN_08012260,466,
0x08012490,FUN_08012490,26,
0x080124c0,FUN_080124c0,82,
0x08012530,FUN_08012530,192,
0x08012620,FUN_08012620,82,
0x08012690,FUN_08012690,6,
0x080126a0,FUN_080126a0,64,
0x080126f0,FUN_080126f0,1278,
0x08012d40,FUN_08012d40,62,
0x08012da0,FUN_08012da0,14,
0x08012dc0,FUN_08012dc0,186,
0x08012ea0,FUN_08012ea0,6,
0x08012eb0,FUN_08012eb0,8,
0x08012ed0,FUN_08012ed0,32,
0x08012f00,FUN_08012f00,6,yes
0x08012f10,FUN_08012f10,14,
0x08012f30,FUN_08012f30,8,yes
0x08012f40,FUN_08012f40,8,yes
0x08012f50,FUN_08012f50,28,
0x08012f80,FUN_08012f80,28,
0x08012fb0,FUN_08012fb0,22,yes
0x08012fd0,FUN_08012fd0,14,
0x08013010,FUN_08013010,26,
0x08013490,FUN_08013490,74,
0x08013500,FUN_08013500,250,
0x08013610,FUN_08013610,24,
0x08013630,FUN_08013630,8,
0x08013650,FUN_08013650,26,
0x08013680,FUN_08013680,6,
0x08013690,FUN_08013690,10,
0x080136a0,FUN_080136a0,174,
0x08013760,FUN_08013760,44,
0x080137a0,FUN_080137a0,394,
0x08013950,FUN_08013950,240,
0x08013a60,FUN_08013a60,10,
0x08013a70,FUN_08013a70,888,
0x08013e50,FUN_08013e50,34,
0x08013e90,FUN_08013e90,148,
0x08013f40,FUN_08013f40,2916,
0x08014c20,FUN_08014c20,62,
0x08014c60,FUN_08014c60,48,
0x08014ca0,FUN_08014ca0,78,
0x08014d00,FUN_08014d00,42,
0x08014d30,FUN_08014d30,24,
0x08014d50,FUN_08014d50,40,
0x08014d80,FUN_08014d80,26,
0x08014da0,FUN_08014da0,72,
0x08014df0,FUN_08014df0,70,
0x08014e50,FUN_08014e50,70,
0x08014eb0,FUN_08014eb0,122,
0x08014f50,FUN_08014f50,138,
0x08014fe0,FUN_08014fe0,232,
0x080150f0,FUN_080150f0,24,
0x08015110,FUN_08015110,24,
0x08015130,FUN_08015130,58,
0x08015180,FUN_08015180,344,
0x080152e0,FUN_080152e0,16,
0x08015300,FUN_08015300,20,
0x08015320,FUN_08015320,50,
0x08015710,FUN_08015710,134,
0x080157a0,FUN_080157a0,98,
0x08015820,FUN_08015820,14,
0x08015840,FUN_08015840,32,
0x08015870,FUN_08015870,142,
0x08015910,FUN_08015910,354,
0x08015a80,FUN_08015a80,8628,yes
0x080182a0,FUN_080182a0,60,
0x080182f0,FUN_080182f0,134,
0x08018380,FUN_08018380,40,
0x080183b0,FUN_080183b0,84,yes
0x08018410,FUN_08018410,410,
0x080185d0,FUN_080185d0,112,
0x08018640,FUN_08018640,230,
0x08018730,FUN_08018730,134,
0x080187c0,FUN_080187c0,248,
0x080188c0,FUN_080188c0,910,
0x08018c70,FUN_08018c70,754,
0x08018fa0,FUN_08018fa0,226,
0x080190b0,FUN_080190b0,964,
0x080194b0,FUN_080194b0,666,
0x08019760,FUN_08019760,1156,
0x08019c40,FUN_08019c40,554,
0x08019e80,FUN_08019e80,114,yes
0x08019f00,FUN_08019f00,46,yes
0x08019f30,FUN_08019f30,38,
0x08019f60,FUN_08019f60,74,yes
0x08019fd0,FUN_08019fd0,304,
0x0801a120,FUN_0801a120,196,yes
0x0801a200,FUN_0801a200,12,
0x0801a210,FUN_0801a210,98,
0x0801ab10,FUN_0801ab10,52,
0x0801ab60,FUN_0801ab60,12,
0x0801ab70,FUN_0801ab70,12,
0x0801ab80,FUN_0801ab80,82,yes
0x0801abe0,FUN_0801abe0,56,
0x0801ac20,FUN_0801ac20,6,
0x0801ac30,FUN_0801ac30,30,
0x0801ac60,FUN_0801ac60,54,
0x0801acb0,FUN_0801acb0,54,
0x0801ad00,FUN_0801ad00,308,
0x0801ae70,FUN_0801ae70,9884,yes
0x0801d8a0,FUN_0801d8a0,98,
0x0801d910,FUN_0801d910,68,
0x0801d960,FUN_0801d960,34,
0x0801d990,FUN_0801d990,66,
0x0801d9e0,FUN_0801d9e0,62,
0x0801da30,FUN_0801da30,96,
0x0801dac0,FUN_0801dac0,22,
0x0801daf0,FUN_0801daf0,14,
0x0801db10,FUN_0801db10,6,
0x0801db20,FUN_0801db20,8,
0x0801db30,FUN_0801db30,6,
0x0801db40,FUN_0801db40,14,
0x0801db60,FUN_0801db60,74,yes
0x0801dbc0,FUN_0801dbc0,72,yes
0x0801dc10,FUN_0801dc10,20,
0x0801dc36,FUN_0801dc36,38,
0x0801dc70,FUN_0801dc70,318,yes
0x0801dde0,FUN_0801dde0,8,
0x0801dde8,FUN_0801dde8,74,
0x0801de40,FUN_0801de40,226,
0x0801df90,FUN_0801df90,86,
0x0801e020,FUN_0801e020,86,
0x0801e0b0,FUN_0801e0b0,8,
0x0801e0b8,FUN_0801e0b8,102,
0x0801e140,thunk_FUN_0801dde0,4,
0x0801e150,FUN_0801e150,6,
0x0801e160,FUN_0801e160,8,
0x0801e168,FUN_0801e168,92,
0x0801e1d0,FUN_0801e1d0,338,
0x0801e350,FUN_0801e350,96,
0x0801e3c0,FUN_0801e3c0,74,
0x0801e410,FUN_0801e410,80,
0x0801e470,FUN_0801e470,80,
0x0801e4d0,FUN_0801e4d0,16,
0x0801e4f0,FUN_0801e4f0,6,
0x0801e500,FUN_0801e500,8,
0x0801e510,FUN_0801e510,80,
0x0801e570,FUN_0801e570,18,
0x0801e590,FUN_0801e590,18,
0x0801e5b0,FUN_0801e5b0,64,
0x0801e600,FUN_0801e600,18,
0x0801e620,FUN_0801e620,64,
0x0801e670,FUN_0801e670,14,
0x0801e690,FUN_0801e690,46,
0x0801e6d0,FUN_0801e6d0,38,
0x0801e700,FUN_0801e700,44,
0x0801e730,FUN_0801e730,32,
0x0801e750,FUN_0801e750,64,
0x0801e7a0,FUN_0801e7a0,1070,yes
0x0801f790,FUN_0801f790,8,
0x0801f7a0,FUN_0801f7a0,8,
0x0801f7b0,FUN_0801f7b0,8,
0x0801f7c0,FUN_0801f7c0,8,
0x0801f7d0,FUN_0801f7d0,8,
0x0801f7e0,FUN_0801f7e0,8,
0x0801f7f0,FUN_0801f7f0,8,
0x0801f800,FUN_0801f800,8,
0x0801f810,FUN_0801f810,8,
0x0801f820,FUN_0801f820,42,
0x0801f860,FUN_0801f860,8,
0x0801f870,FUN_0801f870,8,
0x0801f880,FUN_0801f880,6,
0x0801f890,FUN_0801f890,26,
0x0801f8c0,FUN_0801f8c0,16,
0x0801f8e0,FUN_0801f8e0,8,
0x0801f8f0,FUN_0801f8f0,8,
0x0801f900,FUN_0801f900,82,
0x0801f960,FUN_0801f960,270,
0x0801fa80,FUN_0801fa80,440,
0x0801fc90,FUN_0801fc90,82,
0x0801fcf0,FUN_0801fcf0,108,
0x0801fd60,FUN_0801fd60,6,
0x0801fd70,FUN_0801fd70,6,
0x0801fd80,FUN_0801fd80,8,
0x0801fd90,FUN_0801fd90,6,
0x0801fda0,FUN_0801fda0,8,
0x0801fdb0,FUN_0801fdb0,8,
0x0801fdc0,FUN_0801fdc0,8,
0x0801fdd0,FUN_0801fdd0,8,
0x0801fde0,FUN_0801fde0,6,
0x0801fdf0,FUN_0801fdf0,6,
0x0801fe00,FUN_0801fe00,6,
0x0801fe10,FUN_0801fe10,6,
0x0801fe20,FUN_0801fe20,6,
0x0801fe30,FUN_0801fe30,8,
0x0801fe40,FUN_0801fe40,8,
0x0801fe50,FUN_0801fe50,4,
0x0801fe60,FUN_0801fe60,14,
0x0801fe80,FUN_0801fe80,8,
0x0801fe90,FUN_0801fe90,8,
0x0801fea0,FUN_0801fea0,174,
0x0801ff90,FUN_0801ff90,216,
0x08020080,FUN_08020080,120,
0x08020110,FUN_08020110,134,
0x080201c0,FUN_080201c0,136,
0x08020270,FUN_08020270,68,
0x080202e0,FUN_080202e0,56,
0x08020340,FUN_08020340,12,
0x08020350,FUN_08020350,24,
0x08020440,FUN_08020440,118,
0x080204d0,FUN_080204d0,26,
0x080204f0,FUN_080204f0,908,
0x08020900,FUN_08020900,32,
0x08020930,FUN_08020930,140,
0x080209e0,FUN_080209e0,92,
0x08020a60,FUN_08020a60,6,
0x08020ad0,FUN_08020ad0,86,
0x08020bd0,FUN_08020bd0,166,
0x08020c90,FUN_08020c90,90,
0x08020ca0,FUN_08020ca0,148,
0x08020cb0,FUN_08020cb0,16,
0x08020cd0,FUN_08020cd0,26,
0x08020d00,FUN_08020d00,32,
0x08020d30,FUN_08020d30,50,
0x08020d70,FUN_08020d70,50,
0x08020db0,FUN_08020db0,140,
0x08020e60,FUN_08020e60,34,yes
0x08020e90,FUN_08020e90,182,
0x08020f70,FUN_08020f70,130,
0x08021000,FUN_08021000,690,
0x08021470,FUN_08021470,18,yes
0x08021490,FUN_08021490,352,
0x08021650,FUN_08021650,2,
0x08021660,FUN_08021660,54,
0x080216b0,FUN_080216b0,8,
0x080216c0,FUN_080216c0,4,
0x080216d0,FUN_080216d0,52,
0x08021700,FUN_08021700,10,
0x08021710,FUN_08021710,10,
0x08021720,FUN_08021720,10,
0x08021730,FUN_08021730,8,
0x08021740,FUN_08021740,104,
0x080218a0,FUN_080218a0,10,
0x080218b0,FUN_080218b0,30,
0x080218e0,FUN_080218e0,22,
0x08021910,FUN_08021910,8,
0x08021920,FUN_08021920,8,
0x08021930,FUN_08021930,8,
0x08021940,FUN_08021940,26,
0x08021960,FUN_08021960,38,
0x08021990,FUN_08021990,38,
0x080219c0,FUN_080219c0,22,
0x080219e0,FUN_080219e0,98,
0x08021a60,FUN_08021a60,86,
0x08021ad0,FUN_08021ad0,138,
0x08021b70,FUN_08021b70,8,
0x08021b80,FUN_08021b80,8,
0x08021b90,FUN_08021b90,8,
0x08021ba0,FUN_08021ba0,8,
0x08021bb0,FUN_08021bb0,8,
0x08021bd0,FUN_08021bd0,8,
0x08021be0,FUN_08021be0,90,
0x08021c50,FUN_08021c50,68,
0x08021ca0,FUN_08021ca0,14,
0x08021cc0,FUN_08021cc0,48,
0x08021cf0,FUN_08021cf0,72,
0x08021d40,FUN_08021d40,216,
0x08021e10,FUN_08021e10,28,
0x08021e30,FUN_08021e30,62,
0x08021e80,FUN_08021e80,196,
0x08021f50,FUN_08021f50,46,
0x08021f90,FUN_08021f90,80,
0x08021fc0,FUN_08021fc0,46,
0x08022000,FUN_08022000,124,
0x08022090,FUN_08022090,1698,
0x08022950,FUN_08022950,376,
0x08022a80,FUN_08022a80,164,
0x08022b40,FUN_08022b40,24,
0x08022b60,FUN_08022b60,24,
0x08022b80,FUN_08022b80,24,
0x08022ba0,FUN_08022ba0,76,
0x08022bd0,FUN_08022bd0,76,
0x08022c00,FUN_08022c00,46,
0x08022c40,FUN_08022c40,46,
0x08022c80,FUN_08022c80,38,
0x08022cb0,FUN_08022cb0,8,yes
0x08022cc0,FUN_08022cc0,86,
0x08022d20,FUN_08022d20,344,
0x08022eb0,FUN_08022eb0,60,
0x08022ed0,FUN_08022ed0,60,
0x08022f00,FUN_08022f00,38,
0x08022f30,FUN_08022f30,32,
0x08022f60,FUN_08022f60,66,
